(a)moth|fen; marsh (n)
coth (Social Relations)|enemy; enmity; foe (n)
cotha-|to startle (vb)
cothren; cuid|hostile (adj)
cov-; logra-|to bow (vb)
cova-|to assemble; to come together; to gather; to meet (vb)
covad(a)-|to bring together; to make meet (vb)
covas; govod|community (n)
covn|empty; void (n)
covra-|to empty (vb)
craban|*raven; bird of crow-kind (n)
craith; cruith|spume (n)
craith|foam; froth (n)
crann-|to accomplish; to complete; to finish (vb)
cranna-|to accomplish; to achieve; to complete; to finish (vb)
crannen|perfect (adj)
crann|blush; ruddy (of face); the cheeks (adj n)
crech|spittle (n)
crig|elbow (n)
crintha|pink; rosy (adj)
criptha|bunched-up; in a bunch; together (adj adv)
cris(s)|cleft; gash; gully; ravine (n)
crisg|sharp [edged] (adj)
criss (Physical Acts and Materials)|cleft; cut; gash; slash (n)
criss (Physical World)|cleft; cut; pass; slash (n)
crist (Physical Acts and Materials)|slash; slice (n)
crist (Warfare and Hunting)|cleaver; sword (n)
crista-|to cut; to slash; to slice (vb)
critha-|to reap (vb)
crithla-|to circle; to encircle; to go round (vb)
crithos|ring (n)
crogin|hooked (adj)
crug|beak (espec. of a ship) (n)
crui; cruith|colour (n)
cruin|coloured (adj)
cruith|appearance; complexion (n)
crumguru|guilty; sinister; wiley (n)
cuctha|consideration (n)
cucthol; cunghol|painstaking (adj)
cuen|petrel; sea-bird; small gull (n)
cug-|to consider; to ponder; to resolve; to think (vb)
cugu|dove (n)
cui(w)|alert; awake (adj)
cuia-|to live (vb)
cuida-|to bring to life; to energize; to enliven (vb)
cuileb|lively (adj)
cuilvorn|lifetime (n)
cuil|life; lifetime (n)
cuina-|to be alive (vb)
cuinas|liveliness; vitality (n)
cuin|alive (adj)
cuithas|life (period of life); livelihood; living (n)
cuith|[biological process of] life; life; living body; the vital principle (n)
culuin|golden-red; orange (in colour) (adj)
cum(b); tund|mound (n)
cumli|couch (n)
cum|belly (n)
cund|*prince (n)
cungan(d)|viol(in); (lit.) bow-harp (n)
cunnas; gonnas|dragon’s lair (n)
cuno|care; thought; ‘pains’ (n)
curin; thairiniol; thairinwed|magical (adj)
curu (Mind and Thought)|cunning (n)
curu (Physical Acts and Materials)|craft; cunning; magic; skill (of the hand) (n)
curu; curw; gûl [ng-]; lûth|magic (n)
curunir|a man of craft; wizard (n)
curunis|witch (n)
curunír|man of craft; wizard (n)
cusc; susc|abashed; hushed; quiet (adj)
cwedri|telling (of tales) (n)
cwent|saying; tale (n)
cwileg|alder (n)
cwingfimli|skill at archery (n)
cwingfim|skilled at archery (adj)
círdan|shipbuilder; shipwright (n)
cî; sî|here (adv)
cîn|your (sg. fam.) (pron)
cîr; cîw|fresh; new (adj)
cîrin|modern; present (place or time) (adj)
côl|edible plant; herb; vegetable; wort (n)
cúron|crescent moon (n)
cútha-|to deceive; to lie (vb)
cû (Spatial Relations)|arch; bow; crescent; the waxing or waning moon (n)
cû (Warfare and Hunting)|arch; bow; crescent (n)
cûd|foe (n)
cûl|load (n)
cûm|burial mound; mound (especially grave) (n)
cûn|bent; bow-shaped; bowed; concave (adj)
cûr|cheese (n)
cýra-|to renew (vb)
cýron|new-moon (n)
cŷl|*renewal (n)
cŷr|renewed (adj)
dadbenn|downhill (adj)
dadben|(figuratively) easy-going; downhill; easy; inclined; not arduous; prone (adj adv)
dadhra- [nd-]|to face; to oppose; to resist; to stand in way; to thwart (vb)
dadhren [nd-]|facing; opposing; opposite (adj)
dad|down (adv)
dae- [nd-]|abominable; detestable; dreadful (pref)
daebeth [nd-]|blasphemy (n)
daedelos [nd-]|horrible fear (n)
daen [nd-]|corpse (n)
daer [nd-]|bridegroom (n)
daer|great; large (adj)
dae|shade; shadow (cast by an object or form) (n)
dag- [nd-]|to kill; to slay (vb)
dagnir [nd-]|bane; slayer (n)
dagnis [nd-]|bane (f.); slayer (n)
dagor [nd-]; maeth|battle (n)
dagra- [nd-]|to battle (vb)
dagras [nd-]|slaughter (n)
dagrassaeb|bloodthirsty; (lit.) slaughter-hungry (adj)
dagrassaeg|bloodthirstiness; (lit.) slaughter-hunger (n)
dai; ell|sky (n)
dail; deil|beautiful; delicate; fine; lovely (adj)
dairwen|mirth (n)
dair|merriment; play (n)
dalath; lad; ladwen; talath|plain (n)
dalath|flat surface; plane; vale (n)
dalech; daleg|(upright) stone (n)
dalhung|not heavy (adj)
daltha-|to erect; to set up (vb)
dam [nd-]; dring|hammer (n)
dambed- [nd-]|to answer (vb)
damma- [nd-]|to hammer (vb)
dammen- [nd-]|to go back; to return (vb)
dammog|valueless (adj)
damor|no good (adj)
dan [nd-]|(back in return) against; back again; back on; back to; down upon (prep)
dan-|negative prefix attached to adjectives (pref)
dananna- [nd-]|to give back; to return [something] (vb)
dandol- [nd-]|to come back; to return (vb)
daneitheb|thornless (adj)
dangair|mirthless (adj)
dangar- [nd-]; dannod-|to undo (vb)
dangen; dangen [nd-]|slain (adj)
danglarweb|without light (adj)
dangweth [nd-]|*(lit.) back-report; answer (n)
danna-; penna-|to fall (vb)
dannad|falling (n)
dannen [nd-]|ebb; lowtide (n)
dannen|fallen (adj)
dannod-|to unloose; to untie (vb)
dant|*fall (n)
danwedh [nd-]|ransom (n)
dar-|to halt; to stop (vb)
darhod|not free (adj)
daroth|peak; summit (n)
dartha-|to last; to remain; to stay; to wait (vb)
dathanc; iltanc|unsteady (adj)
dath|abyss; hole; pit; steep fall (n)
daug [nd-]|soldier [with evil connotations]; warrior (n)
daur|league; pause; †stop (n)
dav-|to allow; to permit; to yield (vb)
daw|be silent; hush (interj)
de; fi-|you (pron)
degil [nd]|victor; winner (n)
delch; delch [nd-]|dense (adj)
deldrin grontholas [nd-]; deldron grondolas [nd-]; gronthos deldrinwed|oakleaved beech (n)
deldrinwed [nd-]|beechen (adj)
deldrogod [nd-]|beech nut (n)
deleb|abominable; horrible; loathsome (adj)
delia-; doltha-|to conceal (vb)
deloth|abhorrence; detestation; loathing (n)
delu|deadly; fell; hateful (adj)
dem (dimb-)|gloomy; sad (adj)
dev- [nd-]|to *seek opportunity; to experiment; to try (vb)
dew-|to fail; to miss (vb)
di [nd-]|beneath; in; under (prep)
diant|most (adv)
dilia-|to stop (up) (vb)
dilith [nd-]; gwend|friendship (n)
dim (adj)|former; over; past (adj)
dim (n, Dwelling and Furniture)|stair (n)
dim (n, Emotion)|gloom; sadness (n)
dimborn; gwanwas|olden times; past days; the past (n)
dineth [nd-]; dîs [nd-]|bride (n)
diradhim; diradhin|once upon a time (adv)
dirbedui|difficult to pronounce; hard to utter (adj)
diriol|tedious (adj)
dir|over; through (prep)
dod-|to drop; to fall down (vb)
dod|berry (n)
dol(l)|head; hill (n)
dolen; thurin|hidden; secret (adj)
doll [nd-]|dark; dusky; hidden; obscure; secret (adj)
dollon [nd-]|phoneme; underlying sound; (lit.) hidden-sound (n)
dolph [nd-]|mole (n)
dolt [nd-]; hethu|obscure (adj)
dolt [nd-]|boss; round knob (n)
dom|blind (adj)
dond; donn; paur|fist (n)
donn|shadowy; shady; swart; swarthy (adj)
dorgannas [nd-]|*geography; shapes of the lands (n)
dorgant [nd-]|*(lit.) land-shape; landscape; scene (n)
dorn|obdurate; stiff; thrawn; tough (adj)
doron; gorw|oak (n)
dortha- [nd-]|to dwell; to settle; to stay (vb)
dortha-; pan-|to settle (vb)
dov-|to lie heavy (vb)
dovn; dûr [nd-]|gloomy (adj)
drab-|to (impersonal) to irk; to annoy; to labour; to work (vb)
drabol|labouring (adj)
drab|irksome work; labour; toil (n)
dram(b)|heavy blow (n)
drambor (Body Parts and Functions)|blow with a fist; clenched fist (n)
drambor (Physical Acts and Materials)|thudder (n)
dram|heavy blow; heavy stroke (n)
draug; garaf [ng-]|wolf (n)
drauth; tass|labour (n)
drautha-|to tire out; to weary (vb)
drauthas|[wearisome] toil; weariness from labour (n)
drauthiel|arduous; labourious (adj)
drauth|tired; toilworn; weary (adj)
drava-|to hew (vb)
dravn|hewn log (n)
drega-|to flee (vb)
dre|irksome; wearisome (adj)
drib- [nd-]|to decay; to rot; to wear out (vb)
dringa-|to beat (vb)
dring|*beater (n)
drinna-|to turn; to twist (vb)
drint|turn; twist; wrench (n)
drith [nd-]|flavour; inkling; savour; smell; suggestion (n)
drith-|to it smells; to savours of; to smacks of (vb)
drogod|bondage; slavery; thraldom (n)
drogol; drogwed|base; mean; servile; slavish (adj)
drogwin|slave woman (n)
drog|servant; slave; thrall (n)
duia- [nd-]|to descend; to set [of sun]; to sink (vb)
duidhrad|canal (n)
duila-; gwil-; renia-|to fly (vb)
duileg|fledged; having power of flight (adj)
duilin(g)|swallow (n)
duilin; dúlin(n)|nightingale (n)
duil|fledged; flight; having power of flight; power of flight (n)
duinen|flood; high tide (n)
duiniant|aqueduct (n)
duin|(large) river; water (n)
duirro|*river-bank (n)
dumgort; dungort|(evil) idol (n)
dum|not to be spoken; secret (adj)
duwath; dú(w)ath|night-shade (n)
duwath|dark/black shadow; night shadow (n)
dwindi|a swift (bird) (n)
dâ; hall; raud; taur|high (adj)
dâd; nâd|grandfather (n)
dâf|permission (n)
dêl|disgust (n)
díhena-; gohena-|*to forgive (vb)
dínen|silent (adj)
dírnaith [nd-]|wedge-shaped battle-formation; (lit.) man-spearhead (n)
dî [nd-]|bride; woman (n)
dîl|stopper; stopping; stuffing (n)
dîn (n adj)|quiet; silence; silent (n adj)
dîn (n)|gap; opening; pass in mountains (n)
dîr (adj, Physical Acts and Materials)|difficult; hard (adj)
dîr (adj, Spatial Relations)|long (of time) (adj)
dîr; dîr [nd-]|adult male; agental suffix; man (n)
dôr [nd-]|country (inhabited); dwelling-place; land; people of the land; region where certain people live (n)
dúath|dark/black shadow; night shadow; night-shade (n)
dúda- [nd-]|to lower [something] (vb)
dúnad|descent (n)
dúnen|western (adj)
dúvad|dinner; supper (n)
dûn [nd-]|west (n)
dûr [nd-]|dark (with evil implications); hellish (adj)
dûr; graw; morn|dark (adj)
dû|dimness; late evening; night; night-fall (n)
dýgar|doing a wrong thing; mistaken act (n adj)
dŷl|mistake (n)
dŷr|mistaken; not right; off point (adj)
e; est; eth; ho; hon(o); is; on|he (pron)
eb (Grammar)|except; save (prep)
eb (Time)|?before (prep)
ech (n)|*spiny quill or bristle; spine (n)
ech (pron)|?you; yourself (singular) (pron)
echad- (Physical Acts and Materials)|to fashion; to make; to shape (vb)
echad- (Spatial Relations)|to cut out; to fashion; to form; to make; to shape; (lit.) to shape out (vb)
echad|camp (n)
echain|built again; new (adj)
echor|encircling; outer circle (n adj)
echui(w)|awakening (n)
echuia-|to awaken; to wake up (intr.) (vb)
echuida-|to rouse; to wake up (trans.); to waken (vb)
echuiru-|to come to life (vb)
echuir|early Spring; (lit.) stirring (n)
ectha-|to jet; to spout (vb)
ecthelorn|fir-tree; spruce (n)
ed-|forth; out (pref)
ed; ten|*it (pron)
edanna-|to publish; (lit.) to out-give (vb)
eden|begun again; new (adj)
edhellen|elvish (adj)
edhelvein|elven fair (adj)
edinor|anniversary day (n)
edledhia-|to go into exile (vb)
edledhron|exile (n)
edlen(n)|exiled (adj)
edlonui|foreign (adj)
edlon|*foreigner; outsider; stranger (n)
edol|ivy (n)
edonna-|to beget (vb)
edra-|to open (out) (vb)
edraenui|?outside; bordering; outer (adj)
edrain|*(outer) border (n)
edraith|rescue; saving (n)
edregol|*especially; in especial (adv)
edren|outer (adj)
ed|forth; out; out of (prep pref)
egel; eleg|other (adj)
egelmion|broadshouldered (adj)
egelren|different; strange (adj)
egiont|farther; further (adj)
eglan|forsaken (adj)
egleria-|to glorify (vb)
egli(n)|needle (n)
egnas|peak; sharp point (n)
egol|else; something else (adv n)
egor|or (conj)
ego|be off! (interj)
egriol; odog|excessive (adj)
eg|distant; far away; far off; wide (adv)
ein-|admirable; excellent (pref)
einior|elder (adj)
eirien|daisy (n)
eitha-|to insult; to prick with a sharp point; to stab; to treat with scorn (vb)
eithad|*insult (n)
eitheb|*(orig.) full of points; thorny (adj)
eithela-|to *issue forth; to spring; to well forth (vb)
eithel|fountain; issue of water; source; spring; well (n)
eithlod|springing; welling forth (n)
eithog; eithweg|ancestor; sire; †father (n)
eithos|thorn bush (n)
eithron|*spearman; warrior (n)
eithro|*also (adv)
el; elen; gail; gil [ng-]; êl|star (n)
elaig-|to shield; to ward off (vb)
elanor|pimpernel; small golden star-shaped flower; (lit.) sun-star (n)
elchith|nebula; star cloud (n)
eleg|else (adj)
elia-|to bless (a work); to cause to prosper; to help one (vb)
eliad|blessing (n)
elias|blessedness (n)
elirdhi; faigri|cruelty (n)
elloth|single flower (n)
elo|behold! (interj)
elt|dig; lug; poke (probe); tug (n)
elui|starry (adj)
elu|(pale) blue (adj)
elva-|to admire; to marvel at (vb)
elvain(n)|marvel; marvelous; wonder(ful thing); wonderful; wondrous (adj n)
elvain|marvelous; wonderful; wondrous (adj)
elven|wonder; wonderment (n)
emel; mam; naneth|mother (n)
emig|*mommy; [little] mother (n)
emlin|yellow bird; yellow hammer (n)
emma-|to draw (something); to paint (vb)
emmas|to drawing; to painting (vb)
em|image; picture (n)
en (adv)|that past; then (adv)
en (conj)|*then (conj)
en (prep)|of the (prep)
en (pron)|1st sg pronoun; that already mentioned (by you); that by you; that past (pron)
en-|*to name (vb)
enaidh|central; middle (adj)
enas|title (n)
enchui|sixth (ordinal)
enedhren|central; essential (adj)
enedh|centre; core; middle (n)
ened|moreover (adv)
eneg|six (cardinal)
enephaen|sixty (cardinal)
eneth|*name (n)
engluid|Stonefaces (collective-noun)
enia-|to be born; to be generated; to result (vb)
ennais|signature; (lit.) name sign (n)
ennas|there (adv)
enne(i)rion|adversary; rival (n)
ennen; estannen|named (adj)
ennin|Valian year (n)
ennion|doorkeeper; porter (n)
eno|*still (adv)
entha|there by you; thither (adv)
enweria-|to revere (vb)
enwiol|nominal (adj)
ephed-|to say out (vb)
ephel|outer fence; surrounding ring (n)
ephola-|?to remember (vb)
ercha-; nasta-; piectha-; tigla-|to prick (vb)
erchion|orchish (adj)
erch|prickle (n)
ereb|alone; isolated; single (adj)
eredh|germ; seed (n)
ereg; eregdos|holly; holly-tree (n)
ereth|loneliness; oneness; solitude (n)
eria-|to rise (vb)
eriab|badger (n)
eriad; rosta|rising (n)
eriol|alone; single (adj)
erlu|once; one time (adv)
ernil|prince (n)
ero|*only; alone (adv)
ertha-|to unite (vb)
erthad|union; uniting (n)
eru|desert; waste (n)
eryn|forest (of trees); wood (n)
er|alone; one (adj)
esbin|thin thread (n)
escar|weapon (n)
esc|sharp edge; sharp point (n)
esgal|cast shadow; hiding; screen; shade (n)
esgia-|to smoke (intr.) (vb)
est; eth; is|3rd sg. pronoun; it; she (pron)
esta-|to *name; to call (vb)
estannen|called (adj)
estel|*faith [in]; hope; trust (n)
esten(t); thenn; thent|short (adj)
estola-|to *erect tents; to encamp (vb)
estolad|encampment (n)
ethia-|to assist; to ease (vb)
ethir (Physical World)|mouth of a river; (lit.) outflow (n)
ethir (Sense Perception)|spy (n)
ethiria-|to flow out (vb)
ethog-|to *bring out; to lead out (vb)
etholtha-|to extract; to make come out (vb)
ethuil|spring [the season] (n)
eth|outside (adj adv)
fadhw; paglos; parlas|parchment (n)
fadro(n); othovor|too much (adj)
faefelf|*emotion; soul-feeling (n)
faeg|bad; mean; poor (adj)
fael (adj)|fair-minded; generous; just (adj)
fael (n adj)|*gleaming; gleam of the sun (n adj)
faelas|equity; fairness (n)
faen; fanu|vapour (n)
faergol|depression; grief; (lit.) spirit-burden (n)
faer|spirit (in general) (n)
fae|*soul; incarnate spirit (n)
fagin|cut (adj)
failtha-|to go pale (vb)
fain|radiant; shimmering; shining; white; white and shining [thing] (adj n)
fair|prompt; quick; ready (adj)
falas|beach; shore; strand; surf(line) (n)
falch; riss|cleft; ravine (n)
falchon|great two-handed sword; twibill (n)
falf|breaker; foam; wave (n)
faloth|large foamy wave (n)
faltha-|to foam (vb)
fang|(long) beard (n)
fanha-; fanna-|to cloak; to veil (vb)
fanui|cloudy; (lit.) having much cloud (adj)
fanu|steam (n)
fanwos|mind-picture (of apparition in dream) (n)
far (adj adv)|enough; quite; sufficient (adj adv)
far (adv)|however; yet (adv)
far(o)n|different; separate; strange (adj)
far-|to depart; to divide; to leave; to separate; to sever (vb)
fara-|to hunt (vb)
faran|*ash; rowan (n)
farf|?carpet (n)
farn|enough (adj)
faron; feredir|hunter (n)
faroth|*hunting (n)
fartha- (Quantity and Number)|to sate; to satisfy (vb)
fartha- (Spatial Relations)|to divide (tr.) (vb)
farthannen|sated; satisfied (adj)
farthas|satiety; satisfaction (n)
fass|tassle (n)
fast (Body Parts and Functions)|shaggy hair (n)
fast (Spatial Relations)|holder; stand (n)
fastui|hairy; hirsute; shaggy (n)
fathol|(tasselled) fringe (n)
fathren|tasselled (adj)
faug|thirsty (adj)
faul|(orig.) inflated thing; bladder (n)
faus(t)|thirst (n)
fautha-; fôtha-; glosta-; nítha-|to snow (vb)
faw-|to blow; to pant; to puff (vb)
faw|*breath; puff of breath (n)
fech; ogol|bad (adj)
fecthi|baddish; less bad; naughty (adj)
fegla; feigien|worse (adj)
feira-|to suffice (vb)
feir|mortal; mortal man (n)
fel-|to feel (a sensation or emotion) (vb)
felaich; gwass|splash (n)
fela|boring; cave; mine; tunnel; underground dwelling (n)
felechia-|to splash (vb)
feleg; groth; roth|cave (n)
felf|feeling; sensation (n)
felweg; gofelweg|one’s fellow or equal; rival (n)
fen(n)|door (n)
fend; fenn|threshold (n)
fennas|doorway; gateway; great door (n)
feredis|hunter (f.) (n)
fergar|soon done (adj)
fergenol|quick to see or perceive; sharp-sighted or witted (adj)
feria-|to make ready (promptly) (vb)
fern|dead (of mortals); dead person (n adj)
ferui|(quickly) available; ready to hand (adj)
fesga-|to irritate; to itch (vb)
fesg|irritating; itching (adj)
fess|itch; itching (n)
fi-|2nd-person singular (pron)
fidhras|*all hair on the body; collective hair (n)
fidhren|-haired; having hair (adj)
fien; fuin|worse (adv)
fileb|fern (n)
fileg|*sparrow; small bird (n)
filigod|small bird (n)
fimlios|skilfulness (n)
fim|slender; slim (adj)
finc|trick (n)
findel; finnel|fax; having fine or beautiful hair; head of hair; mass of long hair (n adj)
findel|tress (n)
find|[ON.] lock of hair; hair (in general); tress (n)
fineg|*lock of hair (n)
fing|lock of hair (n)
fini(o)s|larch (n)
finna-|to cheat; to deceive; to take in; to trick (vb)
finnel|(braided) hair (n)
finn|hair; lock of hair; single hair; tress (n)
fintha|thine (pron)
fiont(ha)|later (adj)
fiont|least (adj)
fir-|to *die; to fade (vb)
firin|dying (adj)
firith|[late] autumn; autumn; fading (n)
fir|less (adj)
flant|expression of scorn; leer; sneer (n)
flathrin|foamy; tasseled (adj)
flidhra|graceful; ‘willowy’ (adj)
flinc|finch (n)
flind; flinn|fleet-footed; swift (adj)
flâd; halath|skin (n)
foen|long sight (n)
fofrin; fovren|foolish (adj)
for; fuir|north (adj)
fordúnen|northwestern (adj)
fordûn|northwest (n)
forn|north; right; right or north (adj)
forodren|northern (adj)
forod|north (n)
forrúnen|northeast (adj)
forrûn|northeast (n)
forvo|right hand; right side (n)
fovas|folly (n)
fo|a clan (n)
fring; sigil|necklace (n)
fring|carcanet (n)
fuia-|to abhor; to feel disgust at (vb)
fuin|darkness; dead of night; gloom; night (n)
fuiol|disgusting (adj)
fuior|deadly nightshade (n)
fuir|right (hand) (adj)
fuitha-|to fall (of night); to grow dark (vb)
fyvril|moth (n)
fân|(white) cloud; curtain; form or vision of a spiritual being; veil (n)
fêg|bad; poor; wretched (adj)
fêr|beech-tree (n)
fíreb|mortal (adj)
fîn|(single) hair; filament (n)
fîr|late (adj)
fôf|fool (n)
gach|cow; milch cow (n)
gad-; ged- [ñg-]|to catch (vb)
gadas|trap (n)
gador|dungeon; prison (n)
gaduin|bond; hindrance; obstacle (n)
gae; goe; gor [ng-]; goroth [ng-]; gost|dread (n)
gaearon|ocean; (lit.) great sea (n)
gaear|sea (n)
gaeda-|to astound; to make aghast (and surprise, shock) (vb)
gael; lhui; maidh; malen; malu; nimp (nim-); thind; thinn|pale (adj)
gael|glimmering (adj)
gaeruil; uil|seaweed (n)
gaer|awful; dreadful; fearful (adj)
gaes; thornang|steel (n)
gaesen|of steel (adj)
gaessarn|pearl; (lit.) sea-pebble (n)
gaethren|like steel (adj)
gaew|pregnant (adj)
gail (adj)|bright; light (adj)
gail (n)|heavenly body; sign; token (n)
gair-|to there is room (for) (vb)
gairion|jester (n)
gairwen; gerwen|fun; mirth (adj)
gal- [ng-]|to shine clear; to shine golden as the Sun (vb)
gal-|to shine (golden, as the Sun) (vb)
gala-|to grow (vb)
galad (Physical World)|light (n)
galad (Time)|dawn (n)
galad [ng-]|glittering reflection; radiance (n)
galadh; orn|tree (n)
galadhremmen|tree-meshed (adj)
galas|growth; plant (n)
galenas|*tobacco; nicotiana; pipeweed (n)
galenathrod|(smoking) pipe (n)
galen|grown (esp. of plants) (adj)
galf|back [of a body]; shoulders [collectively] (n)
galtha-|to be glad (vb)
galu|growth; increase (n)
galvorn|*(lit.) shining-black; type of dark metal devised by Eöl (n)
gammas|s-sign (n)
gamp|claw; crook; hook (n)
gandos|morose temper (n)
gand|dark and gloomy; gloomy of temper; harsh; ill tempered; morose; sour (adj)
gann(ad)a- [ng-]|to play a harp (vb)
ganna-|to be profitable; to bring in revenue; to gain; to increase; to profit (vb)
gannan|[originally?] large; adult; grown big; grown up; waxen (adj)
gannel [ng-]|harp (n)
gant|greater; larger; more; (lit.) increased (adj)
gant|greater; larger; more; (lit.) increased (adv)
gar(th) (gardh-)|district; place (n)
gar-|to *possess; to have; to hold (vb)
garadren|adequate; convenient; having room for; opportune (adj)
garadros|opportunity (n)
gardh; gwaith; raeth; raith|region (n)
garion|hauberk (n)
garnen|held; own; possessed (adj)
garn|property; ‘own’ (n)
garob|cloak; outer garment; robe (n)
gartha- (Emotion)|to admire; to have affection or respect for (vb)
gartha-|to defend; to keep (vb)
garth|fort; fortress (n)
gar|?to go (vb)
gasdil|stopgap (n)
gas|gap; hole (n)
gauda-|to devise; to invent; to originate (vb)
gaudhwen|fever (n)
gaud|contrivance; device; machine (n)
gaug|clumsy (adj)
gaul [ng-]|wolfhowl (n)
gaur [ng-]|werewolf (n)
gauth|heat (esp. of body) (n)
gaw- [ng-]|to howl (vb)
gaw; iâ|void (n)
gawad [ng-]|howling (adj)
gawlas; goloth [ng-]; taur|forest (n)
ged- [ñg-]|to get; to obtain; to take (vb)
gelia- [ng-]|to learn (vb)
gelir; glaich|merry (adj)
gella-|to delight; to rejoice (vb)
gellam|jubilation (n)
gellui|triumphant (adj)
gell|joy; triumph (n)
gem; lhaew; malen; nimp|sickly (adj)
genedia-|to reckon (vb)
genediad|reckoning (n)
gentha-|to grip; to lay hold of; to seize (vb)
gen|closed hand; grip (n)
geria-|to ponder (vb)
gern|decrepit (of things); old; worn (adj)
geth|ore of metals (esp. raw iron) (n)
gil [ng-]|(bright) spark; silver glint; twinkle of light (n)
gil- [ng-]|to gleam; to shine pale and silver (as of the moon [or stars]) (vb)
gil-|to gleam; to shine pale and silver (as of the moon) (vb)
gildin|silver spark (n)
gilhof|*(lit.) star-juice; dew (n)
gilith|*region of the stars; starlight (n)
gir-|to shudder (vb)
girith|shuddering (n)
gir|centre; heart; inner parts; inside; interior; inwards (n)
glab-; glavra-|to babble (vb)
glad; taur|wood (n)
gladh-|to *guffaw; to laugh [at a joke] (vb)
gladhweg|cheerful; (lit.) apt to laugh (adj)
glae(gal)|*photons; light (as an ethereal substance) (n)
glaenas|fair weather; serenity (n)
glaen|clear; fair (espec. of weather); serene (adj)
glaer|long lay; narrative poem (n)
glaew|ointment; salve (n)
glae|grass (n)
glaich|happy; joyous (adj)
glais|sweetness (n)
glaiw|salve (n)
glam(m) [ng-]; glâm; tevas|hatred (n)
glamm|barbarous speech; confused noise; shouting (n)
glamog; orch|orc (n)
glamra-|to abominate; to detest; to loath (vb)
glamri|bitter feud (n)
glam|barbarous speech; bellowing of beasts; confused noise; din; shouting; uproar (n)
glan (Mind and Thought)|clear (adj)
glan (Sense Perception)|(originally) bright; pure (adj)
glan(n); taeg|boundary (n)
glan; glann; puig|clean (adj)
glandagol|boundary mark (n)
glanna-|*to clear; to cleanse; to make clear; to purge; to purify (vb)
glannaith|cleanliness; purity (n)
glannas|purification (n)
glannen|cleanly; pure (adj)
glarossiol|dazzling (adj)
glarosta-; glartha-|to dazzle (vb)
glassui|happy; joyful (adj)
glass|*happiness; joy (n)
glasta-|to joke; to make happy (vb)
glast|marble (n)
glas|joy (n)
glathralvas|*heliograph; flashing glass/crystal (n)
glathren|[of or like] marble (adj)
glaudh|jest; joke (n)
glaur; glôr|gold (n)
glaur|gold [light or colour] (n adj)
glavaitha-|to blaze (vb)
glavaith|blaze; blazing light; burning (n)
glavradeb|full of the din of voices (adj)
glavradol|chattering; talkative (adj)
glavradon|*chatterbox; vain talker (n)
glavras|babble; babel; chatter; din of voices (n)
glavrol|babbling (adj)
glaw (Physical World)|radiance; sunshine (n)
glaw (Sense Perception)|radiance (n)
glawar (Physical Acts and Materials)|gold (light or colour); radiance (of Laurelin); sunlight (n)
glawar (Physical World)|radiance of Laurelin; sunlight (n)
gledhrinios; glen(d)rinios; lhinnas|slenderness (n)
gleina-|to bound; to enclose; to limit (vb)
gleinannen|bounded; enclosed; limited (adj)
glenna-|*to travel (vb)
glidheb|like honey (adj)
glim (adj)|shimmering (adj)
glim (n)|*utterance; voice (n)
glimri|sheen (n)
glind; glinn|*song (n)
gling-|to dangle; to hang (vb)
glintha-|to glance (at) (vb)
glinthad|flash of the eye; glance; look (n)
glir-|to recite poem; to sing (vb)
glisca-|to have a sweet tooth; to like sweet things (vb)
glist|sugar (n)
glodhren|jocular (adj)
glonta-|to devour; to gulp; to swallow (vb)
glorchadhu|lotus; (lit.) golden seat (n)
gloriel; glóriel; glôrin; mallen|golden (adj)
gloss (adj)|(dazzling) white; clear white; snow-white (adj)
gloss (n adj)|snow; snow-white (n adj)
glosui|snow white (adj)
glum|cloud (n)
glâm|fierce hate; loathing (n)
glân (adj)|[bright shining] white; clear; pure; †bright (adj)
glân (n)|border; hem (n)
glîn(n)|gleam; glint (n)
glîr; laer; lind; linn|song (n)
glîr|lay; poem (n)
glî|honey (n)
glóna-|to dawn (vb)
glôrin; mallen|of gold (adj)
glûdh|soap (n)
go-; gwa-|co(n)-; com-; in one; together; with (pref)
gobel|(walled) village; *manor; town (enclosure); walled house; walled house or village (n)
gobem|mouth (n)
gobennas; pennas|history (n)
gobennathren|historical (adj)
gobeth|dictionary (n)
gochestri; gochethri; hestri; hethri|consanguinity (n)
gochest|*a set of siblings; brother and brother; brother and sister; etc. (n)
godaithrinwed|grammatical (adj)
godref|*together-through; abreast (adv)
goeol|*fell; dire; terrible (adj)
goe|great fear; terror (n)
gofelthi|exact similarity (n)
goianna-|to add to; to join with (vb)
golain|connection; context; relation; (lit.) threadage (n)
golas; golass|collection of leaves; foliage (n)
golbar [ng-]|school; university; (lit.) wisdom-house (n)
golf|branch (n)
goll [ng-]; golwen [ng-]; idhren; noen; sael|wise (adj)
gollor [ng-]|magician (n)
golodh [ng-]|lore-master; sage (n)
golof|consonant (n)
goloth|*collection of flowers; inflorescence (n)
goltha- [ng-]|to educate; to teach; to tutor; (lit.) to make knowledgable (vb)
golthannen [ng-]|educated; learned (adj)
golthanneth [ng-]|lesson; teaching (n)
golthas [ng-]|education; erudition (n)
golthor|teacher (n)
golu [ng-]|*wisdom; lore (n)
golwen [ng-]|learned in deep arts (adj)
golwin; gulwin|*Gnomish woman (n)
gomintha|together (adv)
gonathra-|to enmesh; to entangle (vb)
gonathras|entanglement (n)
gond; gonn (Physical World)|stone (as a material) (n)
gond; gonn|rock; stone (n)
